hour,Non_Playlist,Chilled,Walking,Total
0,235.0,104.3,94.1,433.4
1,227.8,144.9,97.8,470.50000000000006
2,206.7,110.9,104.9,422.5
3,214.1,82.8,110.9,407.79999999999995
4,204.3,105.5,96.6,406.4
5,215.7,110.1,91.6,417.4
6,211.5,143.9,87.8,443.2
7,174.7,135.3,72.4,382.4
8,186.5,167.4,78.4,432.29999999999995
9,180.9,116.5,57.9,355.29999999999995
10,210.4,156.8,91.3,458.50000000000006
11,228.5,347.0,90.0,665.5
12,232.5,90.9,30.4,353.79999999999995
13,247.7,99.2,32.7,379.59999999999997
14,236.1,108.2,39.3,383.6
15,146.9,145.3,54.4,346.6
16,117.3,80.6,34.5,232.39999999999998
17,103.0,155.0,95.6,353.6
18,243.6,594.8,83.5,921.9
19,203.8,198.6,81.2,483.59999999999997
20,170.0,302.0,121.7,593.7
21,219.9,398.0,123.0,740.9
22,213.6,145.4,112.7,471.7
23,257.2,167.6,95.4,520.1999999999999
