person_id,metric_name,metric_value_num,metric_value_text,metric_unit,metric_group,source_table,metric_layer
ama,total_minutes_raw,189473.22641666667,"189,473",minutes,volume,elicitation_emotions.csv,raw
ama,match_coverage_percent_raw,54.65264129487824,54.7%,percent,volume,elicitation_emotions.csv,raw
ama,coverage_cred_conf,0.8626960196182567,0.86,score,volume,derived,conf
ama,peak_month_minutes_raw,4100.94635,"4,101",minutes,volume,elicitation_periods.csv,raw
ama,peak_month_share_raw,0.0216439358085437,2.2%,percent,volume,derived,raw
ama,peak_month_tail,0.0216439358085437,2.2%,percent,volume,derived,tail
ama,peak_month_raw,0.0,2017-11,month,period,elicitation_periods.csv,raw
ama,dominant_daypart_raw,0.0,late night,label,period,derived,raw
ama,dominant_daypart_share_raw,0.4971141256098982,49.7%,percent,period,derived,raw
ama,daypart_conc_tail,0.4971141256098982,49.7%,percent,period,derived,tail
ama,exam_peak_share_raw,1.0,100.0%,percent,period,elicitation_periods.csv,raw
ama,exam_tail_ratio,1.1802549705515797,1.18,ratio,period,derived,tail
ama,dominant_emotion_raw,0.3213585978624603,share_sadness,label,emotion,elicitation_emotions.csv,raw
ama,dominant_emotion_display,0.3213585978624603,sadness,label,emotion,derived,raw
ama,top2_emotion_share_raw,0.6195081001306633,62.0%,percent,emotion,derived,raw
ama,emotion_conc_tail,0.21560916245469097,0.22,hhi,emotion,derived,tail
ama,emotional_diversity_raw,5.0,5,count,emotion,elicitation_emotions.csv,raw
ama,emotion_entropy_exp,1.8267610554945,1.83,entropy,emotion,derived,exp
ama,upbeat_share_raw,0.4107129762949215,41.1%,percent,emotion,derived,raw
ama,upbeat_share_cred,0.43177995404000147,43.2%,percent,emotion,derived,cred
ama,heavy_share_raw,0.4264671073819303,42.6%,percent,emotion,derived,raw
ama,heavy_share_cred,0.41453908316029864,41.5%,percent,emotion,derived,cred
ama,anchor_song_name_raw,0.0,Under The Milky Way,song,song,elicitation_songs.csv,raw
ama,anchor_song_minutes_raw,1475.0920166666665,1475,minutes,song,elicitation_songs.csv,raw
ama,anchor_song_days_raw,192.0,192,days,song,elicitation_songs.csv,raw
ama,anchor_exposure_tail,0.007785226675893628,0.8%,percent,song,derived,tail
ama,intentional_song_name_raw,0.0,Brown Eyed Girl,song,song,derived,raw
ama,intentionality_score_raw,5.365976015021851,5.37,score,song,derived,raw
ama,intentionality_score_cred,5.354407623750347,5.35,score,song,derived,cred
ama,intentional_song_repeat_count_raw,213.0,213,plays,song,elicitation_songs.csv,raw
ama,intentional_song_playlist_share_raw,0.0,0.0%,percent,song,elicitation_songs.csv,raw
angie,total_minutes_raw,152891.44605,"152,891",minutes,volume,elicitation_emotions.csv,raw
angie,match_coverage_percent_raw,10.779562902825983,10.8%,percent,volume,elicitation_emotions.csv,raw
angie,coverage_cred_conf,0.5,0.50,score,volume,derived,conf
